fitness,lr0,lrf,momentum,weight_decay,mosaic
0.50472,0.01,0.01,0.937,0.0005,1.0
0.5236,0.02603,0.01,0.73433,0.0005,0.91315
0.51773,0.02443,0.01,0.72853,0.0005,1.0
0.513,0.02574,0.01,0.71969,0.0005,0.56561
0.51292,0.02473,0.01,0.7346,5e-05,0.72524
0.49485,0.02138,0.01096,0.91306,0.0,0.75507
0.51792,0.02209,0.01,0.80177,0.0,0.90125
0.50324,0.02307,0.01172,0.84999,5e-05,0.5
0.52832,0.01528,0.01,0.7,0.0,0.59355
0.43753,0.0181,0.01,0.98,3e-05,0.95632
0.50903,0.02667,0.01262,0.78762,0.00027,0.5
0.50444,0.02536,0.01176,0.81877,0.00037,0.92707
0.51306,0.02356,0.01087,0.78402,0.0005,0.59827
0.41397,0.02143,0.01023,0.98,0.00028,0.71304
0.52182,0.01901,0.01303,0.7,0.00013,0.8013
0.51536,0.02586,0.01252,0.70082,0.0,0.76381
0.53338,0.00962,0.01,0.78666,0.0005,0.66884
0.52026,0.00929,0.01,0.7,0.00034,1.0
0.52316,0.02049,0.01045,0.79417,0.00035,1.0
0.48638,0.0253,0.01,0.90694,0.0005,1.0
